id,label,center_x,center_y,rotation_degrees,long_axis_angle_degrees,width,height
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3-82,77-2,617.8315223102285,345.7602806785708,-87.069849,2.9301509999988866,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3-3,77-1,591.9065178305655,344.15951054747967,-86.814376,3.1856239999988816,3.3142691,21.368462
rect3826-4-6-4-7-8-3-9-6-7-4-5-4-9-4-8-8-5-7-7-3-6-0-7-6-3,76-1,524.184548817458,423.2644739061623,-109.09045,-19.090450000003017,3.3142691,21.368462
rect3826-4-6-4-7-8-3-9-6-7-4-5-4-9-4-8-8-5-7-7-3-6-0-7-5-0,76-2,548.0999697041415,416.3678911881371,-103.10774,-13.107740000000945,3.3142691,21.368462
rect3826-4-6-4-7-8-3-9-6-7-4-5-4-9-4-8-8-5-7-7-3-6-0-7-5-6-8,76-3,574.0176299545076,413.4201195480886,-89.781845,0.2181550000001664,3.3142691,21.368462
rect3826-4-6-4-7-8-3-9-6-7-4-5-4-9-4-8-8-5-7-7-3-6-0-7-5-6-5-6,76-4,598.6560589412335,420.9284515213975,-59.109139,30.89086099999855,3.3142691,21.368462
rect3826-4-6-4-7-8-3-9-6-7-4-5-4-9-4-8-8-5-7-7-3-6-0-7-5-6-5-7-2,76-5,619.4569330422635,436.2788401237748,-46.65384900000001,43.34615100000104,3.3142691,21.368462
rect3826-4-6-4-7-8-3-9-6-7-4-5-4-9-4-8-8-5-7-7-3-6-0-7-5-6-5-7-6-9,76-6,638.7560670563233,453.6870076263741,-46.65384900000001,43.34615099999658,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3-31-9-4,75-1,637.0955367361202,366.128270502498,-179.37186000000003,-89.37185999999913,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3-31-9-1,75-2,638.4303599021662,391.6565945474487,174.15317,-95.84682999999882,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3-31-9-6,75-3,643.4359171839303,417.18492792800316,165.59244999999999,-104.40755000000102,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3-31-9-17,75-4,653.0020389629741,441.6009671474441,150.76509,-119.23491000000057,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3-31,74-1,583.8142669763482,357.8969617993196,144.87936000000002,-125.12063999999536,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3-31-9,74-2,598.3303765269769,379.14273984877434,146.44570999999996,-123.55429000000254,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3-31-9-0,74-3,612.902008877598,400.2772855961432,146.44570999999996,-123.55428999999711,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3-31-9-8,74-4,628.0299465093894,422.24612032075083,146.44570999999996,-123.55429000000254,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3-31-9-3,74-5,642.9353945280393,442.9913300777789,143.37122999999997,-126.62876999999793,3.3142691,21.368462
rect3826-5-1-23-0-09-8-4-2-1-2-2-2-4-4-4-1-3-2-2-4-3-9,73-4-2,560.0241826567451,351.2758736201111,48.431658,138.43165800000116,3.3142691,21.368462
rect3826-5-1-2-7-6-6-2-0-8-8-9-6-9-8-7-9-4-5-1-0-8-2-1,73-4-1,555.0209676021869,345.6117044027287,48.431658,138.43165799999872,3.3142691,21.368462
rect3826-5-1-23-0-09-8-4-2-1-2-2-2-4-4-4-1-3-2-2-4-3-9-6,73-3-2,541.1991287414062,367.8937971772146,45.233114,135.23311400000352,3.3142691,21.368462
rect3826-5-1-2-7-6-6-2-0-8-8-9-6-9-8-7-9-4-5-1-0-8-2-1-0,73-3-1,535.8876690465922,362.51761175298793,45.233114,135.23311399999898,3.3142691,21.368462
rect3826-5-1-23-0-09-8-4-2-1-2-2-2-4-4-4-1-3-2-2-4-3-9-5,73-2-2,524.1558483393791,386.7762261651191,40.243314999999996,130.24331499999778,3.3142691,21.368462
rect3826-5-1-2-7-6-6-2-0-8-8-9-6-9-8-7-9-4-5-1-0-8-2-1-5,73-2-1,518.3969022533104,381.8824021385678,40.243314999999996,130.24331499999778,3.3142691,21.368462
rect3826-5-1-23-0-09-8-4-2-1-2-2-2-4-4-4-1-3-2-2-4-3-9-50,73-1-2,511.4890808224804,408.0745643338619,22.476484,112.47648399999844,3.3142691,21.368462
rect3826-5-1-2-7-6-6-2-0-8-8-9-6-9-8-7-9-4-5-1-0-8-2-1-8,73-1-1,504.51147406773174,405.1714664745077,22.476484,112.47648400000094,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3-24,72-1,637.0398995091889,310.8447786507617,-54.959697000000006,35.04030300000281,3.3142691,21.368462
rect3826-4-6-5-4-3-6-96-4-77-3-56-0-2-8-6-4-8-1-2-4-71-3-60,72-2,645.2156605517911,328.7535297130321,-145.46022,-55.46022000000272,3.3142691,21.368462
rect3826-5-1-23-0-09-8-4-2-1-2-2-2-4-4-4-1-3-2-2-4,71-2-2,608.129480513323,311.33007422664866,49.234808999999984,139.23480899999987,3.3142691,21.368462
rect3826-5-1-2-7-6-6-2-0-8-8-9-6-9-8-7-9-4-5-1-0-8,71-2-1,603.2061385223175,305.5963295259053,49.234808999999984,139.23480899999743,3.3142691,21.368462
rect3826-5-1-23-0-09-8-4-2-1-2-2-2-4-4-4-1-3-2-2-4-3,71-1-2,587.8096472056801,328.96910684101294,49.234808999999984,139.23480899999493,3.3142691,21.368462
